,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Tenet,2020,150,7.8,69,110836,
1,Knives Out,2019,130,7.9,82,389099,165.36
2,One Flew Over the Cuckoo's Nest,1975,133,8.7,83,894232,112.0
3,Joker,2019,122,8.5,59,867270,335.45
4,Interstellar,2014,169,8.6,74,1458162,188.02
5,The Princess Bride,1987,98,8.1,77,386325,30.86
6,Avengers: Endgame,2019,181,8.4,78,762520,858.37
7,Ford v Ferrari,2019,152,8.1,81,258211,117.62
8,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,628035,317.58
9,Mulan,1998,88,7.6,71,248760,120.62
10,Inception,2010,148,8.8,74,2012098,292.58
11,Parasite,2019,132,8.6,96,480895,53.37
12,Once Upon a Time... In Hollywood,2019,161,7.6,83,513127,142.5
13,Hamilton,2020,160,8.7,90,40726,
14,The Dark Knight,2008,152,9.0,84,2250119,534.86
15,Jojo Rabbit,2019,108,7.9,58,259906,0.35
16,The Gentlemen,2019,113,7.9,51,184180,
17,The Shawshank Redemption,1994,142,9.3,80,2285425,28.34
18,Pride & Prejudice,2005,129,7.8,82,249468,38.41
19,Blade Runner 2049,2017,164,8.0,81,443448,92.05
20,Zodiac,2007,157,7.7,78,447456,33.08
21,The Peanut Butter Falcon,2019,97,7.6,70,54837,13.12
22,The Wolf of Wall Street,2013,180,8.2,75,1146099,116.9
23,Back to the Future,1985,116,8.5,87,1030989,210.61
24,Deadpool 2,2018,119,7.7,66,462682,324.59
25,The Godfather,1972,175,9.2,100,1577581,134.97
26,The Silence of the Lambs,1991,118,8.6,85,1238289,130.74
27,The Goonies,1985,114,7.8,62,238447,61.5
28,Little Women,2019,135,7.8,91,124687,108.1
29,Avengers: Infinity War,2018,149,8.4,68,800927,678.82
30,Memento,2000,113,8.4,80,1102758,25.54
31,Almost Famous,2000,122,7.9,90,248223,32.53
32,1917,2019,119,8.3,78,369515,159.23
33,The Dark Knight Rises,2012,164,8.4,78,1485303,448.14
34,Tombstone,1993,130,7.8,50,123500,56.51
35,Pulp Fiction,1994,154,8.9,94,1785255,107.93
36,Dunkirk,2017,106,7.9,94,535390,188.37
37,Deadpool,2016,108,8.0,65,884287,363.07
38,The Prestige,2006,130,8.5,66,1160163,53.09
39,Casino Royale,2006,144,8.0,80,571914,167.45
40,Titanic,1997,194,7.8,75,1025421,659.33
41,Mad Max: Fury Road,2015,120,8.1,90,859252,154.06
42,Room,2015,118,8.1,86,359290,14.68
43,The Shining,1980,146,8.4,66,872606,44.02
44,The Matrix,1999,136,8.7,73,1637076,171.48
45,Prisoners,2013,153,8.1,70,583600,61.0
46,Kingsman: The Secret Service,2014,129,7.7,60,580772,128.26
47,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1623960,315.54
48,Call Me by Your Name,2017,132,7.9,93,200791,18.1
49,Thor: Ragnarok,2017,130,7.9,74,566969,315.06
